date,PM10,NO2,O3
2014-10-14,11.67,27.14125,19.880416666666665
2014-10-15,15.69,26.90416666666667,13.711666666666666
2014-10-16,12.78,24.941666666666666,26.83875
2014-10-17,,16.18,53.46791666666667
2014-10-18,,19.41375,22.67458333333333
2014-10-19,,12.604583333333332,26.43625
2014-10-20,,28.308333333333334,19.852083333333333
2014-10-21,,12.940434782608696,49.45083333333333
2014-10-22,,10.3175,54.22708333333333
2014-10-23,,13.790833333333333,43.96416666666667
2014-10-24,26.61,21.2525,29.865416666666665
2014-10-25,21.06,21.025833333333335,14.28875
2014-10-26,15.78,13.517083333333334,20.98125
2014-10-27,16.19,19.840416666666666,16.349999999999998
2014-10-28,26.89,27.98125,15.843333333333334
2014-10-29,32.17,29.42,23.925416666666667
2014-10-30,35.64,30.539583333333336,16.04
2014-10-31,35.64,32.03541666666667,11.746249999999998
2014-11-01,27.72,32.21083333333333,9.637916666666667
2014-11-02,18.14,17.149166666666666,28.315416666666664
2014-11-03,,38.35916666666667,24.89375
2014-11-04,9.81,24.853333333333335,47.0525
2014-11-05,5.08,21.426666666666666,42.9725
2014-11-06,13.69,18.25166666666667,32.49
2014-11-07,18.69,30.201666666666668,10.050869565217392
2014-11-08,15.64,21.4725,13.777916666666668
2014-11-09,20.22,22.38291666666667,7.828749999999999
2014-11-10,15.5,28.248333333333335,11.495833333333332
2014-11-11,,19.534166666666668,20.037499999999998
2014-11-12,23.14,25.502916666666668,6.772916666666667
2014-11-13,13.69,31.15041666666667,16.604583333333334
2014-11-14,17.58,25.358333333333334,6.614999999999999
2014-11-15,8.0,21.3475,34.64666666666667
2014-11-16,4.67,7.500416666666666,56.35583333333333
2014-11-17,8.28,32.25416666666667,27.8325
2014-11-18,13.42,30.04304347826087,14.625416666666666
2014-11-19,15.28,31.33666666666667,13.091666666666667
2014-11-20,18.47,25.951249999999998,8.086666666666666
2014-11-21,31.53,30.675833333333333,3.6470833333333332
2014-11-22,22.64,33.89739130434783,2.0970833333333334
2014-11-23,17.92,30.74,3.264583333333333
2014-11-24,31.67,32.15565217391305,1.6516666666666666
